dataset,column,data_type,non_null_count,null_count,unique_values
accounts,account_id,str,30000,0,30000
accounts,borrower_id,str,29545,455,10943
accounts,loan_type,str,30000,0,5
accounts,principal_amount,float64,30000,0,29996
accounts,outstanding_amount,float64,30000,0,29994
accounts,dpd,int64,30000,0,11
accounts,risk_segment,str,30000,0,4
accounts,status,str,30000,0,4
accounts,opened_at,str,30000,0,29993
accounts,timezone,str,30000,0,3
accounts,schema_version,str,30000,0,3
account_status_history,history_id,str,60000,0,60000
account_status_history,account_id,str,60000,0,25999
account_status_history,borrower_id,str,60000,0,11916
account_status_history,event_at,str,60000,0,59898
account_status_history,status,str,60000,0,7
account_status_history,changed_by,str,60000,0,101
account_status_history,source,str,60000,0,5
account_status_history,recorded_at,str,60000,0,59906
agents,agent_id,str,30000,0,1000
agents,employee_code,str,30000,0,1099
agents,agent_name,str,30000,0,10
agents,vendor_id,str,30000,0,15
agents,team,str,30000,0,5
agents,status,str,30000,0,3
agents,joined_at,str,30000,0,29995
agents,updated_at,str,30000,0,29987
agent_sessions,session_id,str,15000,0,15000
agent_sessions,agent_id,str,15000,0,1000
agent_sessions,login_at,str,15000,0,14996
agent_sessions,channel,str,15000,0,4
agent_sessions,device_id,str,15000,0,1500
agent_sessions,timezone,str,15000,0,2
agent_sessions,logout_at,str,15000,0,14996
borrowers,borrower_id,str,30600,0,11015
borrowers,name,str,30600,0,10
borrowers,phone,float64,29986,614,29395
borrowers,email,str,29705,895,15377
borrowers,city,str,30600,0,10
borrowers,created_at,str,30600,0,29997
borrowers,updated_at,str,30600,0,29991
borrowers,state,str,30600,0,9
calls,call_id,str,91350,0,90000
calls,account_id,str,91350,0,28408
calls,borrower_id,str,91350,0,11992
calls,event_at,str,91350,0,89796
calls,agent_id,str,89523,1827,1000
calls,campaign_id,str,91350,0,120
calls,direction,str,91350,0,2
calls,vendor_id,str,91350,0,15
calls,call_status,str,91350,0,5
calls,duration_sec,int64,91350,0,900
calls,timezone,str,91350,0,3
call_attempts,attempt_id,str,120000,0,120000
call_attempts,account_id,str,120000,0,29451
call_attempts,borrower_id,str,120000,0,12000
call_attempts,event_at,str,120000,0,119605
call_attempts,call_id,str,120000,0,66244
call_attempts,agent_id,str,120000,0,1000
call_attempts,attempt_no,int64,120000,0,7
call_attempts,vendor_id,str,117600,2400,15
call_attempts,attempt_status,str,120000,0,5
call_dispositions,disposition_id,str,35000,0,35000
call_dispositions,account_id,str,35000,0,20603
call_dispositions,borrower_id,str,35000,0,11359
call_dispositions,event_at,str,35000,0,34966
call_dispositions,call_id,str,35000,0,28971
call_dispositions,agent_id,str,35000,0,1000
call_dispositions,disposition_code,str,35000,0,9
call_dispositions,disposition_version,str,35000,0,3
campaigns,campaign_id,str,120,0,120
campaigns,campaign_name,str,120,0,5
campaigns,channel,str,120,0,5
campaigns,strategy_version,str,120,0,4
campaigns,start_at,str,120,0,120
campaigns,target_definition,str,120,0,5
campaigns,end_at,str,120,0,120
complaints,complaint_id,str,8000,0,8000
complaints,account_id,str,8000,0,7034
complaints,borrower_id,str,8000,0,5839
complaints,event_at,str,8000,0,7997
complaints,complaint_type,str,8000,0,7
complaints,severity,str,8000,0,4
complaints,status,str,8000,0,4
complaints,source,str,8000,0,5
complaints,resolution_at,str,8000,0,7998
daily_targeting,target_id,str,45000,0,45000
daily_targeting,account_id,str,45000,0,23344
daily_targeting,campaign_id,str,45000,0,120
daily_targeting,target_date,str,45000,0,220
daily_targeting,priority,int64,45000,0,10
daily_targeting,recommended_channel,str,45000,0,4
daily_targeting,status,str,45000,0,4
data_dictionary,dataset,str,143,0,17
data_dictionary,column,str,143,0,80
data_dictionary,dtype,str,143,0,4
field_visits,visit_id,str,25000,0,25000
field_visits,account_id,str,25000,0,16908
field_visits,borrower_id,str,25000,0,10537
field_visits,event_at,str,25000,0,24973
field_visits,agent_id,str,25000,0,1000
field_visits,visit_type,str,25000,0,4
field_visits,outcome,str,25000,0,6
field_visits,latitude,float64,25000,0,25000
field_visits,longitude,float64,25000,0,25000
field_visits,scheduled_at,str,24750,250,24730
payments,payment_id,str,25500,0,25000
payments,account_id,str,25500,0,16934
payments,borrower_id,str,25500,0,10474
payments,event_at,str,25500,0,24984
payments,payment_reference,str,25118,382,20821
payments,amount,float64,25500,0,24979
payments,payment_status,str,25500,0,4
payments,payment_method,str,25500,0,5
payments,provider_id,str,25500,0,15
promises_to_pay,ptp_id,str,18000,0,18000
promises_to_pay,account_id,str,18000,0,13532
promises_to_pay,borrower_id,str,18000,0,9299
promises_to_pay,event_at,str,18000,0,17990
promises_to_pay,agent_id,str,18000,0,1000
promises_to_pay,promised_amount,float64,18000,0,17983
promises_to_pay,promised_date,str,18000,0,17992
promises_to_pay,status,str,18000,0,4
promises_to_pay,source,str,18000,0,4
sms_events,sms_event_id,str,45000,0,45000
sms_events,account_id,str,45000,0,23207
sms_events,borrower_id,str,45000,0,11728
sms_events,event_at,str,45000,0,44949
sms_events,message_id,str,45000,0,27001
sms_events,event_type,str,45000,0,4
sms_events,template_code,str,45000,0,4
sms_events,provider_id,str,45000,0,15
vendor_telephony,vendor_id,str,15,0,15
vendor_telephony,vendor_name,str,15,0,5
vendor_telephony,vendor_account_id,str,15,0,15
vendor_telephony,timezone,str,15,0,2
vendor_telephony,status,str,15,0,2
vendor_telephony,schema_version,str,15,0,3
whatsapp_events,whatsapp_event_id,str,60600,0,60000
whatsapp_events,account_id,str,60600,0,25924
