dataset,rows,columns,total_cells,missing_values,duplicate_rows
accounts,30000,11,330000,455,0
account_status_history,60000,8,480000,0,0
agents,30000,8,240000,0,0
agent_sessions,15000,7,105000,0,0
borrowers,30600,8,244800,1509,600
calls,91350,11,1004850,1827,1271
call_attempts,120000,9,1080000,2400,0
call_dispositions,35000,8,280000,0,0
campaigns,120,7,840,0,0
complaints,8000,9,72000,0,0
daily_targeting,45000,7,315000,0,0
data_dictionary,143,3,429,0,0
field_visits,25000,10,250000,250,0
payments,25500,9,229500,382,486
promises_to_pay,18000,9,162000,0,0
sms_events,45000,8,360000,0,0
vendor_telephony,15,6,90,0,0
whatsapp_events,60600,8,484800,0,600
