dataset,column,mean,median,minimum,maximum
accounts,principal_amount,403455.5217846667,403456.505,10055.11,799968.38
accounts,outstanding_amount,349634.51143333333,349587.085,1002.67,699963.89
accounts,dpd,56.506433333333334,45.0,0.0,180.0
borrowers,phone,9499667223.405088,9497151826.0,9000004704.0,9999938435.0
calls,duration_sec,451.15890530925014,452.0,0.0,899.0
call_attempts,attempt_no,4.002458333333333,4.0,1.0,7.0
daily_targeting,priority,5.5056,6.0,1.0,10.0
field_visits,latitude,21.470901529700775,21.466677940884182,8.00029745776517,34.99901493027116
field_visits,longitude,78.99375408002804,78.89610192197443,68.00027953764214,89.99773948383324
payments,amount,75186.61243725491,75159.70000000001,103.68,149993.55
promises_to_pay,promised_amount,50233.838777777775,50312.005000000005,511.99,99997.28
