dataset,column,total_rows,duplicate_values,duplicate_percentage
account_status_history,history_id,60000,0,0.0
account_status_history,account_id,60000,34001,56.67
account_status_history,borrower_id,60000,48084,80.14
accounts,account_id,30000,0,0.0
accounts,borrower_id,30000,19056,63.52
agent_sessions,session_id,15000,0,0.0
agent_sessions,agent_id,15000,14000,93.33
agent_sessions,device_id,15000,13500,90.0
agents,agent_id,30000,29000,96.67
agents,vendor_id,30000,29985,99.95
borrowers,borrower_id,30600,19585,64.0
call_attempts,attempt_id,120000,0,0.0
call_attempts,account_id,120000,90549,75.46
call_attempts,borrower_id,120000,108000,90.0
call_attempts,call_id,120000,53756,44.8
call_attempts,agent_id,120000,119000,99.17
call_attempts,vendor_id,120000,119984,99.99
call_dispositions,disposition_id,35000,0,0.0
call_dispositions,account_id,35000,14397,41.13
call_dispositions,borrower_id,35000,23641,67.55
call_dispositions,call_id,35000,6029,17.23
call_dispositions,agent_id,35000,34000,97.14
calls,call_id,91350,1350,1.48
calls,account_id,91350,62942,68.9
calls,borrower_id,91350,79358,86.87
calls,agent_id,91350,90349,98.9
calls,campaign_id,91350,91230,99.87
calls,vendor_id,91350,91335,99.98
campaigns,campaign_id,120,0,0.0
complaints,complaint_id,8000,0,0.0
complaints,account_id,8000,966,12.08
complaints,borrower_id,8000,2161,27.01
daily_targeting,target_id,45000,0,0.0
daily_targeting,account_id,45000,21656,48.12
daily_targeting,campaign_id,45000,44880,99.73
field_visits,visit_id,25000,0,0.0
field_visits,account_id,25000,8092,32.37
field_visits,borrower_id,25000,14463,57.85
field_visits,agent_id,25000,24000,96.0
payments,payment_id,25500,500,1.96
payments,account_id,25500,8566,33.59
payments,borrower_id,25500,15026,58.93
payments,provider_id,25500,25485,99.94
promises_to_pay,ptp_id,18000,0,0.0
promises_to_pay,account_id,18000,4468,24.82
promises_to_pay,borrower_id,18000,8701,48.34
promises_to_pay,agent_id,18000,17000,94.44
sms_events,sms_event_id,45000,0,0.0
sms_events,account_id,45000,21793,48.43
sms_events,borrower_id,45000,33272,73.94
sms_events,message_id,45000,17999,40.0
sms_events,provider_id,45000,44985,99.97
vendor_telephony,vendor_id,15,0,0.0
vendor_telephony,vendor_account_id,15,0,0.0
whatsapp_events,whatsapp_event_id,60600,600,0.99
whatsapp_events,account_id,60600,34676,57.22
whatsapp_events,borrower_id,60600,48683,80.33
whatsapp_events,message_id,60600,25769,42.52
whatsapp_events,provider_id,60600,60585,99.98
