dataset,column,non_null_values,unique_values,duplicate_values,unique_percentage
account_status_history,history_id,60000,60000,0,100.0
account_status_history,account_id,60000,25999,34001,43.33
account_status_history,borrower_id,60000,11916,48084,19.86
accounts,account_id,30000,30000,0,100.0
accounts,borrower_id,29545,10943,18602,37.04
agent_sessions,session_id,15000,15000,0,100.0
agent_sessions,agent_id,15000,1000,14000,6.67
agent_sessions,device_id,15000,1500,13500,10.0
agents,agent_id,30000,1000,29000,3.33
agents,vendor_id,30000,15,29985,0.05
borrowers,borrower_id,30600,11015,19585,36.0
call_attempts,attempt_id,120000,120000,0,100.0
call_attempts,account_id,120000,29451,90549,24.54
call_attempts,borrower_id,120000,12000,108000,10.0
call_attempts,call_id,120000,66244,53756,55.2
call_attempts,agent_id,120000,1000,119000,0.83
call_attempts,vendor_id,117600,15,117585,0.01
call_dispositions,disposition_id,35000,35000,0,100.0
call_dispositions,account_id,35000,20603,14397,58.87
call_dispositions,borrower_id,35000,11359,23641,32.45
call_dispositions,call_id,35000,28971,6029,82.77
call_dispositions,agent_id,35000,1000,34000,2.86
calls,call_id,91350,90000,1350,98.52
calls,account_id,91350,28408,62942,31.1
calls,borrower_id,91350,11992,79358,13.13
calls,agent_id,89523,1000,88523,1.12
calls,campaign_id,91350,120,91230,0.13
calls,vendor_id,91350,15,91335,0.02
campaigns,campaign_id,120,120,0,100.0
complaints,complaint_id,8000,8000,0,100.0
complaints,account_id,8000,7034,966,87.92
complaints,borrower_id,8000,5839,2161,72.99
daily_targeting,target_id,45000,45000,0,100.0
daily_targeting,account_id,45000,23344,21656,51.88
daily_targeting,campaign_id,45000,120,44880,0.27
field_visits,visit_id,25000,25000,0,100.0
field_visits,account_id,25000,16908,8092,67.63
field_visits,borrower_id,25000,10537,14463,42.15
field_visits,agent_id,25000,1000,24000,4.0
payments,payment_id,25500,25000,500,98.04
payments,account_id,25500,16934,8566,66.41
payments,borrower_id,25500,10474,15026,41.07
payments,provider_id,25500,15,25485,0.06
promises_to_pay,ptp_id,18000,18000,0,100.0
promises_to_pay,account_id,18000,13532,4468,75.18
promises_to_pay,borrower_id,18000,9299,8701,51.66
promises_to_pay,agent_id,18000,1000,17000,5.56
sms_events,sms_event_id,45000,45000,0,100.0
sms_events,account_id,45000,23207,21793,51.57
sms_events,borrower_id,45000,11728,33272,26.06
sms_events,message_id,45000,27001,17999,60.0
sms_events,provider_id,45000,15,44985,0.03
vendor_telephony,vendor_id,15,15,0,100.0
vendor_telephony,vendor_account_id,15,15,0,100.0
whatsapp_events,whatsapp_event_id,60600,60000,600,99.01
whatsapp_events,account_id,60600,25924,34676,42.78
whatsapp_events,borrower_id,60600,11917,48683,19.67
whatsapp_events,message_id,60600,34831,25769,57.48
whatsapp_events,provider_id,60600,15,60585,0.02
