table,rows,columns,exact_duplicates,missing_cells,unique_rows
call_attempts,120000,9,0,2400,120000
calls,91350,11,1271,1827,90079
whatsapp_events,60600,8,600,0,60000
account_status_history,60000,8,0,0,60000
sms_events,45000,8,0,0,45000
daily_targeting,45000,7,0,0,45000
call_dispositions,35000,8,0,0,35000
borrowers,30600,8,600,1509,30000
accounts,30000,11,0,455,30000
agents,30000,8,0,0,30000
payments,25500,9,486,382,25014
field_visits,25000,10,0,250,25000
promises_to_pay,18000,9,0,0,18000
agent_sessions,15000,7,0,0,15000
complaints,8000,9,0,0,8000
data_dictionary,143,3,0,0,143
campaigns,120,7,0,0,120
vendor_telephony,15,6,0,0,15
