dataset_1,column_1,dataset_2,column_2,matching_values
account_status_history,account_id,accounts,account_id,25999
account_status_history,account_id,call_attempts,account_id,25520
account_status_history,account_id,call_dispositions,account_id,17876
account_status_history,account_id,calls,account_id,24606
account_status_history,account_id,complaints,account_id,6108
account_status_history,account_id,daily_targeting,account_id,20227
account_status_history,account_id,field_visits,account_id,14657
account_status_history,account_id,payments,account_id,14669
account_status_history,account_id,promises_to_pay,account_id,11740
account_status_history,account_id,sms_events,account_id,20120
account_status_history,account_id,whatsapp_events,account_id,22473
account_status_history,borrower_id,accounts,borrower_id,10868
account_status_history,borrower_id,borrowers,borrower_id,10936
account_status_history,borrower_id,call_attempts,borrower_id,11916
account_status_history,borrower_id,call_dispositions,borrower_id,11279
account_status_history,borrower_id,calls,borrower_id,11908
account_status_history,borrower_id,complaints,borrower_id,5806
account_status_history,borrower_id,field_visits,borrower_id,10465
account_status_history,borrower_id,payments,borrower_id,10399
account_status_history,borrower_id,promises_to_pay,borrower_id,9236
account_status_history,borrower_id,sms_events,borrower_id,11645
account_status_history,borrower_id,whatsapp_events,borrower_id,11833
accounts,account_id,account_status_history,account_id,25999
accounts,account_id,call_attempts,account_id,29451
accounts,account_id,call_dispositions,account_id,20603
accounts,account_id,calls,account_id,28408
accounts,account_id,complaints,account_id,7034
accounts,account_id,daily_targeting,account_id,23344
accounts,account_id,field_visits,account_id,16908
accounts,account_id,payments,account_id,16934
accounts,account_id,promises_to_pay,account_id,13532
accounts,account_id,sms_events,account_id,23207
accounts,account_id,whatsapp_events,account_id,25924
accounts,borrower_id,account_status_history,borrower_id,10868
accounts,borrower_id,borrowers,borrower_id,10046
accounts,borrower_id,call_attempts,borrower_id,10943
accounts,borrower_id,call_dispositions,borrower_id,10366
accounts,borrower_id,calls,borrower_id,10937
accounts,borrower_id,complaints,borrower_id,5331
accounts,borrower_id,field_visits,borrower_id,9604
accounts,borrower_id,payments,borrower_id,9565
accounts,borrower_id,promises_to_pay,borrower_id,8464
accounts,borrower_id,sms_events,borrower_id,10702
accounts,borrower_id,whatsapp_events,borrower_id,10868
agent_sessions,agent_id,agents,agent_id,1000
agent_sessions,agent_id,call_attempts,agent_id,1000
agent_sessions,agent_id,call_dispositions,agent_id,1000
agent_sessions,agent_id,calls,agent_id,1000
agent_sessions,agent_id,field_visits,agent_id,1000
agent_sessions,agent_id,promises_to_pay,agent_id,1000
agents,agent_id,agent_sessions,agent_id,1000
agents,agent_id,call_attempts,agent_id,1000
agents,agent_id,call_dispositions,agent_id,1000
agents,agent_id,calls,agent_id,1000
agents,agent_id,field_visits,agent_id,1000
agents,agent_id,promises_to_pay,agent_id,1000
agents,vendor_id,call_attempts,vendor_id,15
agents,vendor_id,calls,vendor_id,15
agents,vendor_id,payments,provider_id,15
agents,vendor_id,sms_events,provider_id,15
agents,vendor_id,vendor_telephony,vendor_id,15
agents,vendor_id,whatsapp_events,provider_id,15
borrowers,borrower_id,account_status_history,borrower_id,10936
borrowers,borrower_id,accounts,borrower_id,10046
borrowers,borrower_id,call_attempts,borrower_id,11015
borrowers,borrower_id,call_dispositions,borrower_id,10434
borrowers,borrower_id,calls,borrower_id,11007
borrowers,borrower_id,complaints,borrower_id,5345
borrowers,borrower_id,field_visits,borrower_id,9665
borrowers,borrower_id,payments,borrower_id,9628
borrowers,borrower_id,promises_to_pay,borrower_id,8538
borrowers,borrower_id,sms_events,borrower_id,10761
borrowers,borrower_id,whatsapp_events,borrower_id,10939
call_attempts,account_id,account_status_history,account_id,25520
call_attempts,account_id,accounts,account_id,29451
call_attempts,account_id,call_dispositions,account_id,20218
call_attempts,account_id,calls,account_id,27883
call_attempts,account_id,complaints,account_id,6905
call_attempts,account_id,daily_targeting,account_id,22925
call_attempts,account_id,field_visits,account_id,16613
call_attempts,account_id,payments,account_id,16621
call_attempts,account_id,promises_to_pay,account_id,13288
call_attempts,account_id,sms_events,account_id,22783
call_attempts,account_id,whatsapp_events,account_id,25454
call_attempts,borrower_id,account_status_history,borrower_id,11916
call_attempts,borrower_id,accounts,borrower_id,10943
call_attempts,borrower_id,borrowers,borrower_id,11015
call_attempts,borrower_id,call_dispositions,borrower_id,11359
call_attempts,borrower_id,calls,borrower_id,11992
call_attempts,borrower_id,complaints,borrower_id,5839
call_attempts,borrower_id,field_visits,borrower_id,10537
call_attempts,borrower_id,payments,borrower_id,10474
call_attempts,borrower_id,promises_to_pay,borrower_id,9299
call_attempts,borrower_id,sms_events,borrower_id,11728
call_attempts,borrower_id,whatsapp_events,borrower_id,11917
call_attempts,call_id,call_dispositions,call_id,21323
call_attempts,call_id,calls,call_id,66244
call_attempts,agent_id,agent_sessions,agent_id,1000
call_attempts,agent_id,agents,agent_id,1000
call_attempts,agent_id,call_dispositions,agent_id,1000
call_attempts,agent_id,calls,agent_id,1000
call_attempts,agent_id,field_visits,agent_id,1000
call_attempts,agent_id,promises_to_pay,agent_id,1000
call_attempts,vendor_id,agents,vendor_id,15
call_attempts,vendor_id,calls,vendor_id,15
call_attempts,vendor_id,payments,provider_id,15
call_attempts,vendor_id,sms_events,provider_id,15
call_attempts,vendor_id,vendor_telephony,vendor_id,15
call_attempts,vendor_id,whatsapp_events,provider_id,15
call_dispositions,account_id,account_status_history,account_id,17876
call_dispositions,account_id,accounts,account_id,20603
call_dispositions,account_id,call_attempts,account_id,20218
call_dispositions,account_id,calls,account_id,19509
call_dispositions,account_id,complaints,account_id,4793
call_dispositions,account_id,daily_targeting,account_id,15998
call_dispositions,account_id,field_visits,account_id,11611
call_dispositions,account_id,payments,account_id,11665
call_dispositions,account_id,promises_to_pay,account_id,9271
call_dispositions,account_id,sms_events,account_id,15937
call_dispositions,account_id,whatsapp_events,account_id,17771
call_dispositions,borrower_id,account_status_history,borrower_id,11279
call_dispositions,borrower_id,accounts,borrower_id,10366
call_dispositions,borrower_id,borrowers,borrower_id,10434
call_dispositions,borrower_id,call_attempts,borrower_id,11359
call_dispositions,borrower_id,calls,borrower_id,11352
call_dispositions,borrower_id,complaints,borrower_id,5538
call_dispositions,borrower_id,field_visits,borrower_id,9972
call_dispositions,borrower_id,payments,borrower_id,9908
call_dispositions,borrower_id,promises_to_pay,borrower_id,8810
call_dispositions,borrower_id,sms_events,borrower_id,11100
call_dispositions,borrower_id,whatsapp_events,borrower_id,11279
call_dispositions,call_id,call_attempts,call_id,21323
call_dispositions,call_id,calls,call_id,28971
call_dispositions,agent_id,agent_sessions,agent_id,1000
call_dispositions,agent_id,agents,agent_id,1000
call_dispositions,agent_id,call_attempts,agent_id,1000
call_dispositions,agent_id,calls,agent_id,1000
call_dispositions,agent_id,field_visits,agent_id,1000
call_dispositions,agent_id,promises_to_pay,agent_id,1000
calls,call_id,call_attempts,call_id,66244
calls,call_id,call_dispositions,call_id,28971
calls,account_id,account_status_history,account_id,24606
calls,account_id,accounts,account_id,28408
calls,account_id,call_attempts,account_id,27883
calls,account_id,call_dispositions,account_id,19509
calls,account_id,complaints,account_id,6654
calls,account_id,daily_targeting,account_id,22096
calls,account_id,field_visits,account_id,16002
calls,account_id,payments,account_id,16041
calls,account_id,promises_to_pay,account_id,12774
calls,account_id,sms_events,account_id,22028
calls,account_id,whatsapp_events,account_id,24539
calls,borrower_id,account_status_history,borrower_id,11908
calls,borrower_id,accounts,borrower_id,10937
calls,borrower_id,borrowers,borrower_id,11007
calls,borrower_id,call_attempts,borrower_id,11992
calls,borrower_id,call_dispositions,borrower_id,11352
calls,borrower_id,complaints,borrower_id,5836
calls,borrower_id,field_visits,borrower_id,10529
calls,borrower_id,payments,borrower_id,10467
calls,borrower_id,promises_to_pay,borrower_id,9293
calls,borrower_id,sms_events,borrower_id,11720
calls,borrower_id,whatsapp_events,borrower_id,11909
calls,agent_id,agent_sessions,agent_id,1000
calls,agent_id,agents,agent_id,1000
calls,agent_id,call_attempts,agent_id,1000
calls,agent_id,call_dispositions,agent_id,1000
calls,agent_id,field_visits,agent_id,1000
calls,agent_id,promises_to_pay,agent_id,1000
calls,campaign_id,campaigns,campaign_id,120
calls,campaign_id,daily_targeting,campaign_id,120
calls,vendor_id,agents,vendor_id,15
calls,vendor_id,call_attempts,vendor_id,15
calls,vendor_id,payments,provider_id,15
calls,vendor_id,sms_events,provider_id,15
calls,vendor_id,vendor_telephony,vendor_id,15
calls,vendor_id,whatsapp_events,provider_id,15
campaigns,campaign_id,calls,campaign_id,120
campaigns,campaign_id,daily_targeting,campaign_id,120
complaints,account_id,account_status_history,account_id,6108
complaints,account_id,accounts,account_id,7034
complaints,account_id,call_attempts,account_id,6905
complaints,account_id,call_dispositions,account_id,4793
complaints,account_id,calls,account_id,6654
complaints,account_id,daily_targeting,account_id,5484
complaints,account_id,field_visits,account_id,3957
complaints,account_id,payments,account_id,3941
complaints,account_id,promises_to_pay,account_id,3124
complaints,account_id,sms_events,account_id,5442
complaints,account_id,whatsapp_events,account_id,6103
complaints,borrower_id,account_status_history,borrower_id,5806
complaints,borrower_id,accounts,borrower_id,5331
complaints,borrower_id,borrowers,borrower_id,5345
complaints,borrower_id,call_attempts,borrower_id,5839
complaints,borrower_id,call_dispositions,borrower_id,5538
complaints,borrower_id,calls,borrower_id,5836
complaints,borrower_id,field_visits,borrower_id,5132
complaints,borrower_id,payments,borrower_id,5084
complaints,borrower_id,promises_to_pay,borrower_id,4464
complaints,borrower_id,sms_events,borrower_id,5708
complaints,borrower_id,whatsapp_events,borrower_id,5796
daily_targeting,account_id,account_status_history,account_id,20227
daily_targeting,account_id,accounts,account_id,23344
daily_targeting,account_id,call_attempts,account_id,22925
daily_targeting,account_id,call_dispositions,account_id,15998
daily_targeting,account_id,calls,account_id,22096
daily_targeting,account_id,complaints,account_id,5484
daily_targeting,account_id,field_visits,account_id,13156
daily_targeting,account_id,payments,account_id,13152
daily_targeting,account_id,promises_to_pay,account_id,10496
daily_targeting,account_id,sms_events,account_id,18069
daily_targeting,account_id,whatsapp_events,account_id,20222
daily_targeting,campaign_id,calls,campaign_id,120
daily_targeting,campaign_id,campaigns,campaign_id,120
field_visits,account_id,account_status_history,account_id,14657
field_visits,account_id,accounts,account_id,16908
field_visits,account_id,call_attempts,account_id,16613
field_visits,account_id,call_dispositions,account_id,11611
field_visits,account_id,calls,account_id,16002
field_visits,account_id,complaints,account_id,3957
field_visits,account_id,daily_targeting,account_id,13156
field_visits,account_id,payments,account_id,9520
field_visits,account_id,promises_to_pay,account_id,7593
field_visits,account_id,sms_events,account_id,13062
field_visits,account_id,whatsapp_events,account_id,14567
field_visits,borrower_id,account_status_history,borrower_id,10465
field_visits,borrower_id,accounts,borrower_id,9604
field_visits,borrower_id,borrowers,borrower_id,9665
field_visits,borrower_id,call_attempts,borrower_id,10537
field_visits,borrower_id,call_dispositions,borrower_id,9972
field_visits,borrower_id,calls,borrower_id,10529
field_visits,borrower_id,complaints,borrower_id,5132
field_visits,borrower_id,payments,borrower_id,9222
field_visits,borrower_id,promises_to_pay,borrower_id,8158
field_visits,borrower_id,sms_events,borrower_id,10292
field_visits,borrower_id,whatsapp_events,borrower_id,10466
field_visits,agent_id,agent_sessions,agent_id,1000
field_visits,agent_id,agents,agent_id,1000
field_visits,agent_id,call_attempts,agent_id,1000
field_visits,agent_id,call_dispositions,agent_id,1000
field_visits,agent_id,calls,agent_id,1000
field_visits,agent_id,promises_to_pay,agent_id,1000
payments,account_id,account_status_history,account_id,14669
payments,account_id,accounts,account_id,16934
payments,account_id,call_attempts,account_id,16621
payments,account_id,call_dispositions,account_id,11665
payments,account_id,calls,account_id,16041
payments,account_id,complaints,account_id,3941
payments,account_id,daily_targeting,account_id,13152
payments,account_id,field_visits,account_id,9520
payments,account_id,promises_to_pay,account_id,7648
payments,account_id,sms_events,account_id,13129
payments,account_id,whatsapp_events,account_id,14666
payments,borrower_id,account_status_history,borrower_id,10399
payments,borrower_id,accounts,borrower_id,9565
payments,borrower_id,borrowers,borrower_id,9628
payments,borrower_id,call_attempts,borrower_id,10474
payments,borrower_id,call_dispositions,borrower_id,9908
payments,borrower_id,calls,borrower_id,10467
payments,borrower_id,complaints,borrower_id,5084
payments,borrower_id,field_visits,borrower_id,9222
payments,borrower_id,promises_to_pay,borrower_id,8103
payments,borrower_id,sms_events,borrower_id,10235
payments,borrower_id,whatsapp_events,borrower_id,10401
payments,provider_id,agents,vendor_id,15
payments,provider_id,call_attempts,vendor_id,15
payments,provider_id,calls,vendor_id,15
payments,provider_id,sms_events,provider_id,15
payments,provider_id,vendor_telephony,vendor_id,15
payments,provider_id,whatsapp_events,provider_id,15
promises_to_pay,account_id,account_status_history,account_id,11740
promises_to_pay,account_id,accounts,account_id,13532
promises_to_pay,account_id,call_attempts,account_id,13288
promises_to_pay,account_id,call_dispositions,account_id,9271
promises_to_pay,account_id,calls,account_id,12774
promises_to_pay,account_id,complaints,account_id,3124
promises_to_pay,account_id,daily_targeting,account_id,10496
promises_to_pay,account_id,field_visits,account_id,7593
promises_to_pay,account_id,payments,account_id,7648
promises_to_pay,account_id,sms_events,account_id,10433
