dataset,rows,columns,missing_values,duplicates
accounts,30000,11,455,0
account_status_history,60000,8,0,0
agents,30000,8,0,0
agent_sessions,15000,7,0,0
borrowers,30000,8,1484,0
calls,90079,11,1827,0
call_attempts,120000,9,2400,0
call_dispositions,35000,8,0,0
campaigns,120,7,0,0
complaints,8000,9,0,0
daily_targeting,45000,7,0,0
data_dictionary,143,3,0,0
field_visits,25000,10,250,0
golden_pipeline_summary.csv,18,6,0,0
payments,25014,9,382,0
promises_to_pay,18000,9,0,0
sms_events,45000,8,0,0
vendor_telephony,15,6,0,0
whatsapp_events,60000,8,0,0
