dataset,metric,total,average,median,maximum,records
accounts,principal_amount,12103665653.54,403455.52,403456.5,799968.38,30000
accounts,outstanding_amount,10489035343.0,349634.51,349587.08,699963.89,30000
accounts,dpd,1695193.0,56.51,45.0,180.0,30000
borrowers,phone,284857021361025.0,9499667223.41,9497151826.0,9999938435.0,30600
calls,duration_sec,41213366.0,451.16,452.0,899.0,91350
call_attempts,attempt_no,480295.0,4.0,4.0,7.0,120000
daily_targeting,priority,247752.0,5.51,6.0,10.0,45000
field_visits,latitude,536772.54,21.47,21.47,35.0,25000
field_visits,longitude,1974843.85,78.99,78.9,90.0,25000
payments,amount,1917258617.15,75186.61,75159.7,149993.55,25500
promises_to_pay,promised_amount,904209098.0,50233.84,50312.0,99997.28,18000
