dataset,original_rows,final_rows,duplicates_removed,columns,golden_file
accounts,30000,30000,0,11,output/golden_dataset\accounts_golden.csv
account_status_history,60000,60000,0,8,output/golden_dataset\account_status_history_golden.csv
agents,30000,30000,0,8,output/golden_dataset\agents_golden.csv
agent_sessions,15000,15000,0,7,output/golden_dataset\agent_sessions_golden.csv
borrowers,30600,30000,600,8,output/golden_dataset\borrowers_golden.csv
calls,91350,90079,1271,11,output/golden_dataset\calls_golden.csv
call_attempts,120000,120000,0,9,output/golden_dataset\call_attempts_golden.csv
call_dispositions,35000,35000,0,8,output/golden_dataset\call_dispositions_golden.csv
campaigns,120,120,0,7,output/golden_dataset\campaigns_golden.csv
complaints,8000,8000,0,9,output/golden_dataset\complaints_golden.csv
daily_targeting,45000,45000,0,7,output/golden_dataset\daily_targeting_golden.csv
data_dictionary,143,143,0,3,output/golden_dataset\data_dictionary_golden.csv
field_visits,25000,25000,0,10,output/golden_dataset\field_visits_golden.csv
payments,25500,25014,486,9,output/golden_dataset\payments_golden.csv
promises_to_pay,18000,18000,0,9,output/golden_dataset\promises_to_pay_golden.csv
sms_events,45000,45000,0,8,output/golden_dataset\sms_events_golden.csv
vendor_telephony,15,15,0,6,output/golden_dataset\vendor_telephony_golden.csv
whatsapp_events,60600,60000,600,8,output/golden_dataset\whatsapp_events_golden.csv
